
#69.0079
#Localisation, réseau hydrographique, géologie et hydrogéologie
1	Localisation	localisation	O	_
15	d'	de	O	_
16	épaisseur	épaisseur	O	_
17	au	au	O	_
18	moins	moins	O	_
19	pour	pour	O	_
20	supprimer	supprimer	O	_
21	le	le	O	_
22	risque	risque	O	_
23	de	de	O	_
24	contact	contact	O	_
25	avec	avec	O	_
26	les	le	O	_
27	personnes	personne	O	_
28	.	.	O	_


#Des recherches de composés organochlorés ont été effectuées, aucune pollution n'a été découverte pour ces polluants.
1	Des	un	O	_
2	recherches	recherche	O	_
3	de	de	O	_
4	composés	composé	O	_
5	organochlorés	organochloré	O	_
6	ont	avoir	BN	_
7	été	être	IN	_
8	effectuées	effectuer	EN	_
9	,	,	O	_
10	aucune	aucun	O	_
11	pollution	pollution	O	_
12	n'	n'	O	_
13	a	avoir	O	_
14	été	être	O	_
15	découverte	découvrir	O	_
16	pour	pour	O	_
17	ces	ce	O	_
18	polluants	polluant	O	_
19	.	.	O	_


#En 2010, la société ALP'HABITAT Conseil signale qu'elle agit pour le compte de l'ancien propriétaire du terrain sur lequel se trouvait la SDRIM, ainsi que pour la SCI « Le Clos des Santolines », nouveau propriétaire et constructeur d'un programme de 36 logements sur le dit terrain.
1	En	en	BT	_
2	2010	2010	ET	_
3	,	,	ET	_
4	la	le	BO	_
5	société	société	IO	_
6	ALP'	ALP'	IO	_
7	HABITAT	HABITAT	EO	_
8	Conseil	Conseil	O	_
9	signale	signale	O	_
10	 	 	O	_
11	qu'	que	O	_
12	elle	lui	O	_
13	agit	agir	O	_
14	pour	pour	O	_
15	le	le	O	_
16	compte	compte	O	_
17	de	de	BO	_
18	l'	le	BO	_
19	ancien	ancien	IO	_
20	propriétaire	propriétaire	IO	_
21	du	de	IO	_
22	terrain	terrain	IO	_
23	sur	sur	IO	_
24	lequel	lequel	EO	_
25	se	se	BA	_
26	trouvait	trouver	IA	_
27	la	le	BO	_
28	SDRIM	SDRIM	EO	_
29	,	,	O	_
30	ainsi	ainsi	O	_
31	que	que	O	_
32	pour	pour	BO	_
33	la	le	BO	_
34	SCI	sci	IO	_
35	«	«	BL	_
36	 	 	BL	_
37	Le	le	IL	_
38	Clos	clos	IL	_
39	des	de	EL	_
40	Santolines	santoline	EL	_
41	 	 	O	_
42	»	»	O	_
43	,	,	O	_
44	nouveau	nouveau	O	_
45	propriétaire	propriétaire	O	_
46	et	et	O	_
47	constructeur	constructeur	BO	_
48	d'	de	BO	_
49	un	un	IO	_
50	programme	programme	IO	_
51	de	de	IO	_
52	36	36	IO	_
53	logements	logement	IO	_
54	sur	sur	IL	_
55	le	le	IL	_
56	dit	dire	EO	_
57	terrain	terrain	EO	_
58	.	.	O	_


#Le 18 août 2011, la société ALP'HABITAT Conseil a communiqué un rapport établi le 18 juillet 2011 par Bureau VERITAS s'intitulant « Rapport de synthèse de suivi des travaux de dépollution ».
1	Le	le	BT	_
2	18	18	IT	_
3	août	août	IT	_
4	2011	2011	ET	_
5	,	,	ET	_
6	la	le	BO	_
7	société	société	IO	_
8	ALP'	ALP'	IO	_
9	HABITAT	HABITAT	IO	_
10	Conseil	Conseil	EO	_
11	a	avoir	BN	_
12	communiqué	communiquer	EN	_
13	un	un	BO	_
14	rapport	rapport	EO	_
15	établi	établir	BN	_
16	le	le	BT	_
17	18	18	IT	_
18	juillet	juillet	IT	_
19	2011	2011	ET	_
20	par	par	O	_
21	Bureau	bureau	BO	_
22	VERITAS	VERITAS	EO	_
23	s'	se	O	_
24	intitulant	intituler	O	_
25	«	«	O	_
26	 	 	O	_
27	Rapport	rapport	O	_
28	de	de	O	_
29	synthèse	synthèse	O	_
30	de	de	O	_
31	suivi	suivi	BN	_
32	des	de	BN	_
33	travaux	travail	IN	_
34	de	de	IN	_
35	dépollution	dépollution	EN	_
36	 	 	O	_
37	»	»	O	_
38	.	.	O	_


#Les travaux de dépollution prévus dans le plan de gestion sont achevés.
1	Les	le	BN	_
2	travaux	travail	IN	_
3	de	de	IN	_
4	dépollution	dépollution	EN	_
5	prévus	prévoir	BR	_
6	dans	dans	ER	_
7	le	le	BO	_
8	plan	plan	IO	_
9	de	de	IO	_
10	gestion	gestion	EO	_
11	sont	être	BN	_
12	achevés	achever	EN	_
13	.	.	O	_


#Un AP de servitudes d'utilité publique a été pris.
1	Un	un	BO	_
2	AP	ap	IO	_
3	de	de	IO	_
4	servitudes	servitude	IO	_
5	d'	de	EO	_
6	utilité	utilité	EO	_
7	publique	public	EO	_
8	a	avoir	BN	_
9	été	être	IN	_
10	pris	prendre	EN	_
11	.	.	O	_


#69.0079
#Localisation, réseau hydrographique, géologie et hydrogéologie
1	Localisation	localisation	O	_
2	,	,	O	_
3	réseau	réseau	O	_
4	hydrographique	hydrographique	O	_
5	,	,	O	_
6	géologie	géologie	O	_
7	et	et	O	_
8	hydrogéologie	hydrogéologie	EN	_


#Le site est localisé sur la ZAC d'Yvours, route d'Irigny à Pierre-Bénite (69).
1	Le	le	BO	_
2	site	site	EO	_
3	est	être	O	_
4	localisé	localiser	BL	_
5	sur	sur	IL	_
6	la	le	IL	_
7	ZAC	zac	IL	_
8	d'	de	IL	_
9	Yvours	Yvours	IL	_
10	,	,	IL	_
11	route	route	IL	_
12	d'	de	IL	_
13	Irigny	Irigny	IL	_
14	à	à	IL	_
15	Pierre-Bénite	Pierre-Bénite	IL	_
16	(	(	EL	_
17	69	69	EL	_
18	)	)	EL	_
19	.	.	O	_


#La superficie totale du site est d'environ 25 ha.
1	La	le	O	_
2	superficie	superficie	O	_
3	totale	total	O	_
4	du	de	O	_
5	site	site	O	_
6	est	être	O	_
7	d'	de	O	_
8	environ	environ	O	_
9	25	25	O	_
10	ha	ha	O	_
11	.	.	O	_


#La rivière "la Mouche" borde la limite ouest du terrain avec un écoulement se dirigeant du nord-ouest vers le sud-est.
1	La	le	O	_
2	rivière	rivière	O	_
3	"	"	O	_
4	la	le	O	_
5	Mouche	Mouche	O	_
6	"	"	O	_
7	borde	borde	BL	_
8	la	le	IL	_
9	limite	limite	IL	_
10	ouest	ouest	IL	_
11	du	de	IL	_
12	terrain	terrain	EO	_
13	avec	avec	O	_
14	un	un	BN	_
15	écoulement	écoulement	IL	_
16	se	se	IL	_
17	dirigeant	diriger	IL	_
18	du	de	IL	_
19	nord-ouest	nord-ouest	IL	_
20	vers	vers	IL	_
21	le	le	IL	_
22	sud-est	sud-est	IL	_
23	.	.	O	_


#Le Rhône est positionné à 200 m à l'est des limites de l'emprise du site, il s'écoule du nord au sud.
1	Le	le	BO	_
2	Rhône	Rhône	EO	_
3	est	être	BN	_
4	positionné	positionner	IN	_
5	à	à	IL	_
6	200	200	IL	_
7	m	m	IL	_
8	à	à	IL	_
9	l'	le	IL	_
10	est	est	IL	_
11	des	de	IL	_
12	limites	limite	IL	_
13	de	de	IL	_
14	l'	le	IL	_
15	emprise	emprise	IL	_
16	du	de	IL	_
17	site	site	EL	_
18	,	,	O	_
19	il	il	O	_
20	s'	se	O	_
21	écoule	écoule	O	_
22	du	de	O	_
23	nord	nord	IL	_
24	au	au	IL	_
25	sud	sud	EL	_
26	.	.	O	_


#La Mouche n'a aucune relation avec la nappe au droit du site.
1	La	le	O	_
2	Mouche	Mouche	O	_
3	n'	n'	O	_
4	a	avoir	O	_
5	aucune	aucun	O	_
6	relation	relation	O	_
7	avec	avec	O	_
8	la	le	O	_
9	nappe	nappe	O	_
10	au	au	O	_
11	droit	droit	O	_
12	du	de	O	_
13	site	site	O	_
14	.	.	O	_


#Le site est constitué de remblais sur une épaisseur de 2,5 à 8 m, puis des alluvions récentes du Rhône, sur une épaisseur variant entre 10 et 35 m.
1	Le	le	BO	_
2	site	site	EO	_
3	est	être	O	_
4	constitué	constituer	O	_
5	de	de	O	_
6	remblais	remblai	O	_
7	sur	sur	O	_
8	une	un	O	_
9	épaisseur	épaisseur	O	_
10	de	de	O	_
11	2,5	2,5	O	_
12	à	à	O	_
13	8	8	O	_
14	m	m	O	_
15	,	,	O	_
16	puis	puis	O	_
17	des	de	O	_
18	alluvions	alluvion	BN	_
19	récentes	récent	IL	_
20	du	de	IL	_
21	Rhône	Rhône	EL	_
22	,	,	O	_
23	sur	sur	O	_
24	une	un	O	_
25	épaisseur	épaisseur	O	_
26	variant	varier	O	_
27	entre	entre	O	_
28	10	10	O	_
29	et	et	O	_
30	35	35	O	_
31	m.	m.	O	_


#e substratum de ces alluvions est constitué de formations mollasiques.
1	e	e	O	_
2	substratum	substratum	O	_
3	de	de	O	_
4	ces	ce	O	_
5	alluvions	alluvion	O	_
6	est	être	O	_
7	constitué	constituer	O	_
8	de	de	O	_
9	formations	formation	O	_
10	mollasiques	mollasique	O	_
11	.	.	O	_


#Une nappe d'eau souterraine d'accompagnement du Rhône se trouve au droit du site à une profondeur comprise entre 6,5 et 10,5 m, et une cote en hautes eaux comprises entre 155,65 et 157 m NGF.
1	Une	un	O	_
2	nappe	nappe	O	_
3	d'	de	O	_
4	eau	eau	O	_
5	souterraine	souterrain	O	_
6	d'	de	O	_
7	accompagnement	accompagnement	BL	_
8	du	de	IL	_
9	Rhône	Rhône	EL	_
10	se	se	BL	_
11	trouve	trouve	IL	_
12	au	au	IL	_
13	droit	droit	IL	_
14	du	de	IL	_
15	site	site	EL	_
16	à	à	O	_
17	une	un	O	_
18	profondeur	profondeur	O	_
19	comprise	comprendre	O	_
20	entre	entre	O	_
21	6,5	6,5	O	_
22	et	et	O	_
23	10,5	10,5	O	_
24	m	m	O	_
25	,	,	O	_
26	et	et	O	_
27	une	un	BO	_
28	cote	cote	IN	_
29	en	en	IN	_
30	hautes	haut	IN	_
31	eaux	eau	EN	_
32	comprises	comprendre	O	_
33	entre	entre	O	_
34	155,65	155,65	O	_
35	et	et	O	_
36	157	157	O	_
37	m	m	O	_
38	NGF	ngf	O	_
39	.	.	O	_


#L'écoulement des eaux est orienté in fine vers le Rhône, qui constitue l'exutoire de la nappe, du sud-ouest vers le nord-est pour la partie sud à restituer au Grand Lyon par Fillot TP, et ouest-est dans la partie nord du site.
1	L'	le	O	_
2	écoulement	écoulement	O	_
3	des	de	O	_
4	eaux	eau	O	_
5	est	être	O	_
6	orienté	orienter	O	_
7	in	in	O	_
8	fine	fine	BO	_
9	vers	vers	BL	_
10	le	le	IL	_
11	Rhône	Rhône	EL	_
12	,	,	O	_
13	qui	qui	O	_
14	constitue	constitue	O	_
15	l'	le	O	_
16	exutoire	exutoire	O	_
17	de	de	O	_
18	la	le	O	_
19	nappe	nappe	O	_
20	,	,	O	_
21	du	de	O	_
22	sud-ouest	sud-ouest	IN	_
23	vers	vers	BL	_
24	le	le	IL	_
25	nord-est	nord-est	IL	_
26	pour	pour	O	_
27	la	le	BO	_
28	partie	partie	IO	_
29	sud	sud	EO	_
30	à	à	O	_
31	restituer	restituer	O	_
32	au	au	BL	_
33	Grand	grand	IL	_
34	Lyon	Lyon	EL	_
35	par	par	O	_
36	Fillot	Fillot	O	_
37	TP	TP	O	_
38	,	,	O	_
39	et	et	O	_
40	ouest-est	ouest-est	BO	_
41	dans	dans	BL	_
42	la	le	IL	_
43	partie	partie	IL	_
44	nord	nord	IL	_
45	du	de	IL	_
46	site	site	EL	_
47	.	.	O	_


#Le site est situé en dehors de toute zone d'alimentation en eau potable et industrielle.
1	Le	le	BO	_
2	site	site	EO	_
3	est	être	BL	_
4	situé	situer	IL	_
5	en	en	IL	_
6	dehors	dehors	IL	_
7	de	de	IL	_
8	toute	tout	IL	_
9	zone	zone	IL	_
10	d'	de	IL	_
11	alimentation	alimentation	IL	_
12	en	en	IA	_
13	eau	eau	IA	_
14	potable	potable	O	_
15	et	et	O	_
16	industrielle	industriel	O	_
17	.	.	O	_


#Historique :
1	Historique	historique	O	_
2	:	:	O	_


#La société PECHINEY UGINE KUHLMANN (PUK) a exercé sur le site une activité de production de produits chimiques à partir des années 1970.
1	La	le	BO	_
2	société	société	IO	_
3	PECHINEY	PECHINEY	EO	_
4	UGINE	UGINE	BO	_
5	KUHLMANN	KUHLMANN	EO	_
6	(	(	O	_
7	PUK	PUK	O	_
8	)	)	O	_
9	a	avoir	BR	_
10	exercé	exercer	IR	_
11	sur	sur	ER	_
12	le	le	BO	_
13	site	site	EO	_
14	une	un	BA	_
15	activité	activité	IA	_
16	de	de	IA	_
17	production	production	IA	_
18	de	de	IA	_
19	produits	produit	IA	_
20	chimiques	chimique	EA	_
21	à	à	BT	_
22	partir	partir	IT	_
23	des	de	IT	_
24	années	année	IT	_
25	1970	1970	ET	_
26	.	.	O	_


#Elle bénéficiait d'un arrêté préfectoral complémentaire du 23/11/1981.
1	Elle	lui	BO	_
2	bénéficiait	bénéficier	IN	_
3	d'	de	IN	_
4	un	un	BO	_
5	arrêté	arrêté	IO	_
6	préfectoral	préfectoral	EO	_
7	complémentaire	complémentaire	O	_
8	du	de	O	_
9	23/11/1981	23/11/1981	IT	_
10	.	.	ET	_


#La société PUK a été dissoute et ses terrains d'Irigny et Pierre-Bénite ont été vendus à la Communauté Urbaine de Lyon par actes du 9/06/1986 et 04/07/1986.
1	La	le	BO	_
2	société	société	IO	_
3	PUK	PUK	EO	_
4	a	avoir	BN	_
5	été	être	IN	_
6	dissoute	dissoudre	EN	_
7	et	et	O	_
8	ses	son	BO	_
9	terrains	terrain	IO	_
10	d'	de	IL	_
11	Irigny	Irigny	IL	_
12	et	et	IL	_
13	Pierre-Bénite	Pierre-Bénite	IL	_
14	ont	avoir	BN	_
15	été	être	IN	_
16	vendus	vendre	EN	_
17	à	à	O	_
18	la	le	BO	_
19	Communauté	communauté	BO	_
20	Urbaine	urbain	IO	_
21	de	de	IL	_
22	Lyon	Lyon	EL	_
23	par	par	O	_
24	actes	acte	O	_
25	du	de	O	_
26	9/06/1986	9/06/1986	IT	_
27	et	et	IT	_
28	04/07/1986	04/07/1986	IT	_
29	.	.	ET	_


#La société a été placée en liquidation judiciaire le 23/12/1996.
1	La	le	BO	_
2	société	société	EO	_
3	a	avoir	BN	_
4	été	être	IN	_
5	placée	placer	IN	_
6	en	en	IN	_
7	liquidation	liquidation	IN	_
8	judiciaire	judiciaire	EN	_
9	le	le	BT	_
10	23/12/1996	23/12/1996	IT	_
11	.	.	ET	_


#L'ensemble des bâtiments de la société PUK a été démoli.
1	L'	le	BO	_
2	ensemble	ensemble	IO	_
3	des	de	IO	_
4	bâtiments	bâtiment	EO	_
5	de	de	O	_
6	la	le	BO	_
7	société	société	IO	_
8	PUK	PUK	EO	_
9	a	avoir	BN	_
10	été	être	IN	_
11	démoli	démolir	EN	_
12	.	.	O	_


#De 1993 à 1996, le site a été géré par un groupement immobilier, ACTILYON, pour un projet immobilier ou tertiaire, qui n'aboutit pas pour des raisons financières.
1	De	de	BT	_
2	1993	1993	IT	_
3	à	à	IT	_
4	1996	1996	ET	_
5	,	,	ET	_
6	le	le	BO	_
7	site	site	EO	_
8	a	avoir	BN	_
9	été	être	IN	_
10	géré	gérer	EN	_
11	par	par	EN	_
12	un	un	BO	_
13	groupement	groupement	IO	_
14	immobilier	immobilier	EO	_
15	,	,	O	_
16	ACTILYON	ACTILYON	EO	_
17	,	,	O	_
18	pour	pour	O	_
19	un	un	BN	_
20	projet	projet	IN	_
21	immobilier	immobilier	EN	_
22	ou	ou	O	_
23	tertiaire	tertiaire	O	_
24	,	,	O	_
25	qui	qui	O	_
26	n'	n'	O	_
27	aboutit	aboutir	O	_
28	pas	pas	O	_
29	pour	pour	O	_
30	des	un	O	_
31	raisons	raison	O	_
32	financières	financier	O	_
33	.	.	O	_


#Aujourd'hui, le site possède un usage industriel.
1	Aujourd'hui	aujourd'hui	O	_
2	,	,	O	_
3	le	le	BO	_
4	site	site	EO	_
5	possède	posséder	BR	_
6	un	un	BA	_
7	usage	usage	IA	_
8	industriel	industriel	EA	_
9	.	.	O	_


#Les 14 ha au nord ont été aménagés pour l'extension d'une station d'épuration.
1	Les	le	BO	_
2	14	14	IO	_
3	ha	ha	IO	_
4	au	au	IO	_
5	nord	nord	EO	_
6	ont	avoir	BN	_
7	été	être	IN	_
8	aménagés	aménager	EN	_
9	pour	pour	O	_
10	l'	le	BN	_
11	extension	extension	IN	_
12	d'	de	IN	_
13	une	un	BO	_
14	station	station	IO	_
15	d'	de	EO	_
16	épuration	épuration	EO	_
17	.	.	O	_


#Les 11 ha restants ont été loués à la société FILLOT TP pour exploiter une plate-forme de transit et recyclage de déchets inertes du BTP, installation classée pour la protection de l'environnement qui a débuté vers 1996 puis a été autorisée et réglementée par arrêté préfectoral du 13 janvier 2000.
1	Les	le	BO	_
2	11	11	IO	_
3	ha	ha	EO	_
4	restants	restant	O	_
5	ont	avoir	BN	_
6	été	être	IN	_
7	loués	louer	EN	_
8	à	à	O	_
9	la	le	BO	_
10	société	société	IO	_
11	FILLOT	FILLOT	EO	_
12	TP	TP	EO	_
13	pour	pour	O	_
14	exploiter	exploiter	BN	_
15	une	un	BO	_
16	plate	plate	EO	_
17	-	-	O	_
18	forme	forme	BO	_
19	de	de	IO	_
20	transit	transit	EO	_
21	et	et	IO	_
22	recyclage	recyclage	IO	_
23	de	de	IO	_
24	déchets	déchet	IO	_
25	inertes	inerte	IO	_
26	du	de	IO	_
27	BTP	BTP	EO	_
28	,	,	O	_
29	installation	installation	O	_
30	classée	classer	O	_
31	pour	pour	O	_
32	la	le	O	_
33	protection	protection	O	_
34	de	de	O	_
35	l'	le	BO	_
36	environnement	environnement	EO	_
37	qui	qui	O	_
38	a	avoir	BN	_
39	débuté	débuter	IN	_
40	vers	vers	BT	_
41	1996	1996	ET	_
42	puis	puis	O	_
43	a	avoir	BN	_
44	été	être	IN	_
45	autorisée	autoriser	EN	_
46	et	et	O	_
47	réglementée	réglementer	BN	_
48	par	par	BO	_
49	arrêté	arrêté	IO	_
50	préfectoral	préfectoral	EO	_
51	du	de	BT	_
52	13	13	IT	_
53	janvier	janvier	IT	_
54	2000	2000	ET	_
55	.	.	ET	_


#En 2005, la société FILLOT TP a été rachetée par le groupe EUROVIA.
1	En	en	BT	_
2	2005	2005	ET	_
3	,	,	ET	_
4	la	le	BO	_
5	société	société	IO	_
6	FILLOT	FILLOT	IO	_
7	TP	TP	EO	_
8	a	avoir	BN	_
9	été	être	IN	_
10	rachetée	racheter	EN	_
11	par	par	O	_
12	le	le	BO	_
13	groupe	groupe	BO	_
14	EUROVIA	EUROVIA	EO	_
15	.	.	O	_


#Les 4 ha situés à l'extrémité sud du terrain actuellement occupés par FILLOT TP sont concernés par un projet de restitution au propriétaire actuel, le Grand Lyon, dans le but d'y aménager une halte ferroviaire.
1	Les	le	BO	_
2	4	4	BO	_
3	ha	ha	EO	_
4	situés	situer	BL	_
5	à	à	IL	_
6	l'	le	IL	_
7	extrémité	extrémité	IL	_
8	sud	sud	IL	_
9	du	de	IL	_
10	terrain	terrain	EO	_
11	actuellement	actuellement	BR	_
12	occupés	occuper	IR	_
13	par	par	ER	_
14	FILLOT	FILLOT	IO	_
15	TP	TP	EO	_
16	sont	être	BR	_
17	concernés	concerner	IR	_
18	par	par	ER	_
19	un	un	BO	_
20	projet	projet	EO	_
21	de	de	O	_
22	restitution	restitution	O	_
23	au	au	O	_
24	propriétaire	propriétaire	IN	_
25	actuel	actuel	EN	_
26	,	,	O	_
27	le	le	BO	_
28	Grand	grand	IL	_
29	Lyon	Lyon	EL	_
30	,	,	O	_
31	dans	dans	O	_
32	le	le	O	_
33	but	but	O	_
34	d'	de	O	_
35	y	y	O	_
36	aménager	aménager	BN	_
37	une	un	BO	_
38	halte	halte	IO	_
39	ferroviaire	ferroviaire	EO	_
40	.	.	O	_


#CARACTERISATION DE L'ETAT DU SITE
1	CARACTERISATION	caracterisation	O	_
2	DE	de	O	_
3	L'	le	O	_
4	ETAT	etat	O	_
5	DU	de	O	_
6	SITE	site	O	_


#Le site a fait l’objet d’un audit de sol et d’une évaluation simplifiée des risques (ESR) à l’initiative du propriétaire, la COMMUNAUTE URBAINE DE LYON, suite à l'activité de PUK .
1	Le	le	BO	_
2	site	site	EO	_
3	a	avoir	BR	_
4	fait	faire	IR	_
5	l’	l’	IR	_
6	objet	objet	IR	_
7	d’	d’	ER	_
8	un	un	BN	_
9	audit	audit	IN	_
10	de	de	IN	_
11	sol	sol	EN	_
12	et	et	O	_
13	d’	d’	O	_
14	une	un	BN	_
15	évaluation	évaluation	IN	_
16	simplifiée	simplifier	IN	_
17	des	de	IN	_
18	risques	risque	EN	_
19	(	(	O	_
20	ESR	esr	O	_
21	)	)	O	_
22	à	à	O	_
23	l’	l’	BN	_
24	initiative	initiative	EN	_
25	du	de	BO	_
26	propriétaire	propriétaire	EO	_
27	,	,	O	_
28	la	le	BO	_
29	COMMUNAUTE	communaute	EO	_
30	URBAINE	urbain	IO	_
31	DE	de	IO	_
32	LYON	LYON	EL	_
33	,	,	O	_
34	suite	suite	BR	_
35	à	à	ER	_
36	l'	le	BR	_
37	activité	activité	BO	_
38	de	de	IO	_
39	PUK	PUK	EO	_
40	.	.	O	_


#Les résultats de ces études ont été transmis à l’administration le 20/07/98.
1	Les	le	O	_
2	résultats	résultat	O	_
3	de	de	O	_
4	ces	ce	O	_
5	études	étude	O	_
6	ont	avoir	BN	_
7	été	être	IN	_
8	transmis	transmettre	EN	_
9	à	à	O	_
10	l’	l’	BO	_
11	administration	administration	EO	_
12	le	le	BT	_
13	20/07/98	20/07/98	IT	_
14	.	.	ET	_


#Ceux-ci, à l'époque, ont conduit à classer le site dans la catégorie des « sites nécessitant des investigations approfondies » (classe 1).
1	Ceux	celui	O	_
2	-	-	O	_
3	ci	ci	O	_
4	,	,	O	_
5	à	à	BT	_
6	l'	le	IT	_
7	époque	époque	EN	_
8	,	,	O	_
9	ont	avoir	O	_
10	conduit	conduire	O	_
11	à	à	O	_
12	classer	classer	O	_
13	le	le	BO	_
14	site	site	EO	_
15	dans	dans	BR	_
16	la	le	BO	_
17	catégorie	catégorie	EO	_
18	des	de	O	_
19	«	«	O	_
20	sites	site	O	_
21	nécessitant	nécessiter	O	_
22	des	un	O	_
23	investigations	investigation	EN	_
24	approfondies	approfondi	EN	_
25	»	»	O	_
26	(	(	O	_
27	classe	classe	O	_
28	1	1	O	_
29	)	)	O	_
30	.	.	O	_


#En effet, la pollution (selon les valeurs seuils en vigueur à l'époque) mise en évidence a recensé plusieurs dizaines de milliers de mètres cubes de terres plus ou moins imprégnées de substances diverses.
1	En	en	O	_
2	effet	effet	O	_
3	,	,	O	_
4	la	le	BO	_
5	pollution	pollution	EO	_
6	(	(	O	_
7	selon	selon	O	_
8	les	le	O	_
9	valeurs	valeur	O	_
10	seuils	seuil	O	_
11	en	en	O	_
12	vigueur	vigueur	O	_
13	à	à	O	_
14	l'	le	O	_
15	époque	époque	O	_
16	)	)	O	_
17	mise	mettre	O	_
18	en	en	O	_
19	évidence	évidence	O	_
20	a	avoir	O	_
21	recensé	recenser	O	_
22	plusieurs	plusieurs	O	_
23	dizaines	dizaine	O	_
24	de	de	O	_
25	milliers	millier	O	_
26	de	de	O	_
27	mètres	mètre	O	_
28	cubes	cube	O	_
29	de	de	O	_
30	terres	terre	O	_
31	plus	plus	O	_
32	ou	ou	O	_
33	moins	moins	O	_
34	imprégnées	imprégner	O	_
35	de	de	O	_
36	substances	substance	O	_
37	diverses	divers	O	_
38	.	.	O	_


#4 zones polluées ont été prises en compte dans cette étude de sol (ESR) :
1	4	4	BO	_
2	zones	zone	IO	_
3	polluées	polluer	EO	_
4	ont	avoir	BN	_
5	été	être	IN	_
6	prises	prendre	IN	_
7	en	en	EN	_
8	compte	compte	EN	_
9	dans	dans	O	_
10	cette	ce	BN	_
11	étude	étude	IN	_
12	de	de	IN	_
13	sol	sol	EN	_
14	(	(	O	_
15	ESR	esr	O	_
16	)	)	O	_
17	:	:	O	_


#- 1 zone sol contenant des métaux lourds ;
1	-	-	O	_
2	1	1	O	_
3	zone	zone	O	_
4	sol	sol	O	_
5	contenant	contenir	O	_
6	des	un	O	_
7	métaux	métal	O	_
8	lourds	lourd	O	_
9	;	;	O	_


#- 2 zones sol contenant des hydrocarbures et métaux lourds ;
1	-	-	O	_
2	2	2	BO	_
3	zones	zone	IO	_
4	sol	sol	EO	_
5	contenant	contenir	O	_
6	des	un	O	_
7	hydrocarbures	hydrocarbure	O	_
8	et	et	O	_
9	métaux	métal	O	_
10	lourds	lourd	O	_
11	;	;	O	_


#- 1 zone sol contenant des métaux lourds, cyanure et hydrocarbures.
1	-	-	O	_
2	1	1	O	_
3	zone	zone	O	_
4	sol	sol	O	_
5	contenant	contenir	O	_
6	des	un	O	_
7	métaux	métal	O	_
8	lourds	lourd	O	_
9	,	,	O	_
10	cyanure	cyanure	O	_
11	et	et	O	_
12	hydrocarbures	hydrocarbure	O	_
13	.	.	O	_


#Suite au rapport de l'inspection des installations classées du 06/09/2000, des sanctions administratives ont été prises contre le liquidateur pour la remise en état du site (la surveillance des eaux souterraines et superficielles du ruisseau la Mouche traversant la partie ouest du site, la réalisation d'un diagnostic approfondi et une évaluation détaillée des risques, l'encadrement des éventuels travaux sur le site), par arrêté du 19/10/2000.
1	Suite	suite	BR	_
2	au	au	ER	_
3	rapport	rapport	BO	_
4	de	de	O	_
5	l'	le	BO	_
6	inspection	inspection	IO	_
7	des	de	IO	_
8	installations	installation	IO	_
9	classées	classer	EO	_
10	du	de	O	_
11	06/09/2000	06/09/2000	ET	_
12	,	,	O	_
13	des	un	BO	_
14	sanctions	sanction	IO	_
15	administratives	administratif	EO	_
16	ont	avoir	BN	_
17	été	être	IN	_
18	prises	prendre	EN	_
19	contre	contre	O	_
20	le	le	O	_
21	liquidateur	liquidateur	O	_
22	pour	pour	O	_
23	la	le	BN	_
24	remise	remise	IN	_
25	en	en	IN	_
26	état	état	IN	_
27	du	de	IO	_
28	site	site	EO	_
29	(	(	O	_
30	la	le	BA	_
31	surveillance	surveillance	IA	_
32	des	de	IA	_
33	eaux	eau	IA	_
34	souterraines	souterrain	IA	_
35	et	et	IA	_
36	superficielles	superficiel	IA	_
37	du	de	IA	_
38	ruisseau	ruisseau	IA	_
39	la	le	BL	_
40	Mouche	Mouche	IL	_
41	traversant	traverser	IL	_
42	la	le	IL	_
43	partie	partie	IL	_
44	ouest	ouest	IL	_
45	du	de	IL	_
46	site	site	EL	_
47	,	,	O	_
48	la	le	BN	_
49	réalisation	réalisation	IN	_
50	d'	de	IN	_
51	un	un	IN	_
52	diagnostic	diagnostic	EN	_
53	approfondi	approfondi	EN	_
54	et	et	O	_
55	une	un	BN	_
56	évaluation	évaluation	IN	_
57	détaillée	détaillé	IN	_
58	des	de	IN	_
59	risques	risque	EN	_
60	,	,	O	_
61	l'	le	BO	_
62	encadrement	encadrement	BN	_
63	des	de	IN	_
64	éventuels	éventuel	IN	_
65	travaux	travail	EN	_
66	sur	sur	O	_
67	le	le	O	_
68	site	site	O	_
69	)	)	O	_
70	,	,	O	_
71	par	par	O	_
72	arrêté	arrêté	O	_
73	du	de	O	_
74	19/10/2000	19/10/2000	ET	_
75	.	.	ET	_


#La COMMUNAUTE URBAINE DE LYON, propriétaire du site depuis 1986, a déjà engagé, en liaison avec l'Administration, des investigations et études sur une partie nord du tènement.
1	La	le	BO	_
2	COMMUNAUTE	communaute	EO	_
3	URBAINE	urbain	IO	_
4	DE	de	IO	_
5	LYON	LYON	EO	_
6	,	,	O	_
7	propriétaire	propriétaire	O	_
8	du	de	O	_
9	site	site	BO	_
10	depuis	depuis	BT	_
11	1986	1986	ET	_
12	,	,	O	_
13	a	avoir	BN	_
14	déjà	déjà	IN	_
15	engagé	engager	EN	_
16	,	,	O	_
17	en	en	O	_
