
#69.0079
#Localisation, réseau hydrographique, géologie et hydrogéologie
1	Localisation	localisation	O	_
1	La	le	O	_
2	terre	terre	O	_
3	a	avoir	O	_
4	été	être	O	_
5	éliminée	éliminer	O	_
6	en	en	O	_
7	Décharge	décharge	O	_
8	Contrôlée	contrôler	O	_
9	de	de	O	_
10	classe	classe	O	_
11	2	2	O	_
12	(	(	O	_
13	décharge	décharge	O	_
14	de	de	O	_
15	type	type	O	_
16	"	"	O	_
17	ordures	ordure	O	_
18	ménagères	ménager	O	_
19	"	"	O	_
20	)	)	O	_
21	.	.	O	_


#Les analyses effectuées n'ont pas mis en évidence de pollution au niveau de la nappe.
1	Les	le	O	_
2	analyses	analyse	O	_
3	effectuées	effectuer	O	_
4	n'	n'	O	_
5	ont	avoir	O	_
6	pas	pas	O	_
7	mis	mettre	O	_
8	en	en	O	_
9	évidence	évidence	O	_
10	de	de	O	_
11	pollution	pollution	O	_
12	au	au	O	_
13	niveau	niveau	O	_
14	de	de	O	_
15	la	le	O	_
16	nappe	nappe	O	_
17	.	.	O	_


#(rapport BURGEAP de septembre 1992).
1	(	(	O	_
2	rapport	rapport	O	_
3	BURGEAP	BURGEAP	BI	_
4	de	de	O	_
5	septembre	septembre	O	_
6	1992	1992	O	_
7	)	)	O	_
8	.	.	O	_


#Le site a fait l'objet d'un récépissé de cessation d'activité en 1994.
1	Le	le	O	_
2	site	site	O	_
3	a	avoir	O	_
4	fait	faire	O	_
5	l'	le	O	_
6	objet	objet	O	_
7	d'	de	O	_
8	un	un	O	_
9	récépissé	récépissé	O	_
10	de	de	O	_
11	cessation	cessation	O	_
12	d'	de	O	_
13	activité	activité	O	_
14	en	en	O	_
15	1994	1994	O	_
16	.	.	O	_


#L'exploitant n'a pas indiqué d'autres pollutions potentielles sur ce site.
1	L'	le	O	_
2	exploitant	exploitant	O	_
3	n'	n'	O	_
4	a	avoir	O	_
5	pas	pas	O	_
6	indiqué	indiquer	O	_
7	d'	d'	O	_
8	autres	autre	O	_
9	pollutions	pollution	O	_
10	potentielles	potentiel	O	_
11	sur	sur	O	_
12	ce	ce	O	_
13	site	site	O	_
14	.	.	O	_


#Par la suite les bâtiments ont été rasés.
1	Par	par	O	_
2	la	le	O	_
3	suite	suite	O	_
4	les	le	O	_
5	bâtiments	bâtiment	O	_
6	ont	avoir	O	_
7	été	être	O	_
8	rasés	raser	O	_
9	.	.	O	_


#Par Arrêté Préfectoral du 24/03/94, l'administration a considéré en l'état de ses connaissances que le site était traité libre de toute restriction.
1	Par	par	O	_
2	Arrêté	arrêté	O	_
3	Préfectoral	préfectoral	O	_
4	du	de	O	_
5	24/03/94	24/03/94	O	_
6	,	,	O	_
7	l'	le	O	_
8	administration	administration	O	_
9	a	avoir	O	_
10	considéré	considérer	O	_
11	en	en	O	_
12	l'	le	O	_
13	état	état	O	_
14	de	de	O	_
15	ses	son	O	_
16	connaissances	connaissance	O	_
17	que	que	O	_
18	le	le	O	_
19	site	site	O	_
20	était	être	O	_
21	traité	traiter	O	_
22	libre	libre	O	_
23	de	de	O	_
24	toute	tout	O	_
25	restriction	restriction	O	_
26	.	.	O	_


#Ce terrain doit faire prochainement l'objet d'une reconversion en quartier résidentiel.
1	Ce	ce	O	_
2	terrain	terrain	O	_
3	doit	devoir	O	_
4	faire	faire	O	_
5	prochainement	prochainement	O	_
6	l'	le	O	_
7	objet	objet	O	_
8	d'	de	O	_
9	une	un	O	_
10	reconversion	reconversion	O	_
11	en	en	O	_
12	quartier	quartier	O	_
13	résidentiel	résidentiel	O	_
14	.	.	O	_


#La société ECODEV a effectué une étude de sol en décembre 2003 : présence de deux secteurs pollués par des métaux lourds (cadmium, nickel, chrome).
1	La	le	BI	_
2	société	société	II	_
3	ECODEV	ECODEV	EI	_
4	a	avoir	O	_
5	effectué	effectuer	O	_
6	une	un	O	_
7	étude	étude	O	_
8	de	de	O	_
9	sol	sol	O	_
10	en	en	O	_
11	décembre	décembre	O	_
12	2003	2003	O	_
13	:	:	O	_
14	présence	présence	O	_
15	de	de	O	_
16	deux	deux	O	_
17	secteurs	secteur	O	_
18	pollués	polluer	O	_
19	par	par	O	_
20	des	un	O	_
21	métaux	métal	BS	_
22	lourds	lourd	BS	_
23	(	(	O	_
24	cadmium	cadmium	BS	_
25	,	,	O	_
26	nickel	nickel	BS	_
27	,	,	O	_
28	chrome	chrome	BS	_
29	)	)	O	_
30	.	.	O	_


#La société ECODEV a effectué une nouvelle étude de sol (diagnostic de sol et plan de gestion du site) en mars 2007 du fait du changement d'usage du site envisagé : zone résidentielle.
1	La	le	BI	_
2	société	société	II	_
3	ECODEV	ECODEV	EI	_
4	a	avoir	O	_
5	effectué	effectuer	O	_
6	une	un	O	_
7	nouvelle	nouveau	O	_
8	étude	étude	O	_
9	de	de	O	_
10	sol	sol	O	_
11	(	(	O	_
12	diagnostic	diagnostic	O	_
13	de	de	O	_
14	sol	sol	O	_
15	et	et	O	_
16	plan	plan	O	_
17	de	de	O	_
18	gestion	gestion	O	_
19	du	de	O	_
20	site	site	O	_
21	)	)	O	_
22	en	en	O	_
23	mars	mars	O	_
24	2007	2007	O	_
25	du	de	O	_
26	fait	fait	O	_
27	du	de	O	_
28	changement	changement	O	_
29	d'	de	O	_
30	usage	usage	O	_
31	du	de	O	_
32	site	site	O	_
33	envisagé	envisager	O	_
34	:	:	O	_
35	zone	zone	O	_
36	résidentielle	résidentiel	O	_
37	.	.	O	_


#Le plan de gestion prévoit l'excavation et l'élimination en décharge de classe I des terres les plus contaminées (environ 275 mcube).
1	Le	le	O	_
2	plan	plan	O	_
3	de	de	O	_
4	gestion	gestion	O	_
5	prévoit	prévoir	O	_
6	l'	le	O	_
7	excavation	excavation	O	_
8	et	et	O	_
9	l'	le	O	_
10	élimination	élimination	O	_
11	en	en	O	_
12	décharge	décharge	O	_
13	de	de	O	_
14	classe	classe	O	_
15	I	i	O	_
16	des	de	O	_
17	terres	terre	O	_
18	les	le	O	_
19	plus	plus	O	_
20	contaminées	contaminer	O	_
21	(	(	O	_
22	environ	environ	O	_
23	275	275	O	_
24	mcube	mcube	O	_
25	)	)	O	_
26	.	.	O	_


#L'ensemble des zones non construites seront recouvertes d'une couche de 50 cm d'épaisseur au moins pour supprimer le risque de contact avec les personnes.
1	L'	le	O	_
2	ensemble	ensemble	O	_
3	des	de	O	_
4	zones	zone	O	_
5	non	non	O	_
6	construites	construire	O	_
7	seront	être	O	_
8	recouvertes	recouvrir	O	_
9	d'	de	O	_
10	une	un	O	_
11	couche	couche	O	_
12	de	de	O	_
13	50	50	O	_
14	cm	cm	O	_
15	d'	de	O	_
16	épaisseur	épaisseur	O	_
17	au	au	O	_
18	moins	moins	O	_
19	pour	pour	O	_
20	supprimer	supprimer	O	_
21	le	le	O	_
22	risque	risque	O	_
23	de	de	O	_
24	contact	contact	O	_
25	avec	avec	O	_
26	les	le	O	_
27	personnes	personne	O	_
28	.	.	O	_


#Des recherches de composés organochlorés ont été effectuées, aucune pollution n'a été découverte pour ces polluants.
1	Des	un	O	_
2	recherches	recherche	O	_
3	de	de	O	_
4	composés	composé	BS	_
5	organochlorés	organochloré	BS	_
6	ont	avoir	O	_
7	été	être	O	_
8	effectuées	effectuer	O	_
9	,	,	O	_
10	aucune	aucun	O	_
11	pollution	pollution	O	_
12	n'	n'	O	_
13	a	avoir	O	_
14	été	être	O	_
15	découverte	découvrir	O	_
16	pour	pour	O	_
17	ces	ce	BU	_
18	polluants	polluant	EU	_
19	.	.	O	_


#En 2010, la société ALP'HABITAT Conseil signale qu'elle agit pour le compte de l'ancien propriétaire du terrain sur lequel se trouvait la SDRIM, ainsi que pour la SCI « Le Clos des Santolines », nouveau propriétaire et constructeur d'un programme de 36 logements sur le dit terrain.
1	En	en	O	_
2	2010	2010	O	_
3	,	,	O	_
4	la	le	BI	_
5	société	société	II	_
6	ALP'	ALP'	EI	_
7	HABITAT	HABITAT	EI	_
8	Conseil	Conseil	EI	_
9	signale	signale	O	_
10	 	 	O	_
11	qu'	que	O	_
12	elle	lui	O	_
13	agit	agir	O	_
14	pour	pour	O	_
15	le	le	O	_
16	compte	compte	O	_
17	de	de	O	_
18	l'	le	O	_
19	ancien	ancien	O	_
20	propriétaire	propriétaire	O	_
21	du	de	O	_
22	terrain	terrain	O	_
23	sur	sur	O	_
24	lequel	lequel	O	_
25	se	se	O	_
26	trouvait	trouver	BI	_
27	la	le	BI	_
28	SDRIM	SDRIM	EI	_
29	,	,	O	_
30	ainsi	ainsi	O	_
31	que	que	O	_
32	pour	pour	BI	_
33	la	le	BI	_
34	SCI	sci	II	_
35	«	«	EI	_
36	 	 	EI	_
37	Le	le	EI	_
38	Clos	clos	EI	_
39	des	de	EI	_
40	Santolines	santoline	EI	_
41	 	 	O	_
42	»	»	O	_
43	,	,	O	_
44	nouveau	nouveau	O	_
45	propriétaire	propriétaire	O	_
46	et	et	O	_
47	constructeur	constructeur	O	_
48	d'	de	O	_
49	un	un	O	_
50	programme	programme	O	_
51	de	de	O	_
52	36	36	O	_
53	logements	logement	O	_
54	sur	sur	O	_
55	le	le	O	_
56	dit	dire	O	_
57	terrain	terrain	O	_
58	.	.	O	_


#Le 18 août 2011, la société ALP'HABITAT Conseil a communiqué un rapport établi le 18 juillet 2011 par Bureau VERITAS s'intitulant « Rapport de synthèse de suivi des travaux de dépollution ».
1	Le	le	O	_
2	18	18	O	_
3	août	août	O	_
4	2011	2011	O	_
5	,	,	O	_
6	la	le	BI	_
7	société	société	II	_
8	ALP'	ALP'	EI	_
9	HABITAT	HABITAT	EI	_
10	Conseil	Conseil	EI	_
11	a	avoir	O	_
12	communiqué	communiquer	O	_
13	un	un	O	_
14	rapport	rapport	O	_
15	établi	établir	O	_
16	le	le	O	_
17	18	18	O	_
18	juillet	juillet	O	_
19	2011	2011	O	_
20	par	par	O	_
21	Bureau	bureau	BI	_
22	VERITAS	VERITAS	BI	_
23	s'	se	O	_
24	intitulant	intituler	O	_
25	«	«	O	_
26	 	 	O	_
27	Rapport	rapport	O	_
28	de	de	O	_
29	synthèse	synthèse	O	_
30	de	de	O	_
31	suivi	suivi	O	_
32	des	de	O	_
33	travaux	travail	O	_
34	de	de	O	_
35	dépollution	dépollution	O	_
36	 	 	O	_
37	»	»	O	_
38	.	.	O	_


#Les travaux de dépollution prévus dans le plan de gestion sont achevés.
1	Les	le	O	_
2	travaux	travail	O	_
3	de	de	O	_
4	dépollution	dépollution	O	_
5	prévus	prévoir	O	_
6	dans	dans	O	_
7	le	le	O	_
8	plan	plan	O	_
9	de	de	O	_
10	gestion	gestion	O	_
11	sont	être	O	_
12	achevés	achever	O	_
13	.	.	O	_


#Un AP de servitudes d'utilité publique a été pris.
1	Un	un	O	_
2	AP	ap	O	_
3	de	de	O	_
4	servitudes	servitude	O	_
5	d'	de	O	_
6	utilité	utilité	O	_
7	publique	public	O	_
8	a	avoir	O	_
9	été	être	O	_
10	pris	prendre	O	_
11	.	.	O	_


#69.0079
#Localisation, réseau hydrographique, géologie et hydrogéologie
1	Localisation	localisation	O	_
2	,	,	O	_
3	réseau	réseau	O	_
4	hydrographique	hydrographique	O	_
5	,	,	O	_
6	géologie	géologie	O	_
7	et	et	O	_
8	hydrogéologie	hydrogéologie	O	_


#Le site est localisé sur la ZAC d'Yvours, route d'Irigny à Pierre-Bénite (69).
1	Le	le	O	_
2	site	site	O	_
3	est	être	O	_
4	localisé	localiser	O	_
5	sur	sur	O	_
6	la	le	O	_
7	ZAC	zac	O	_
8	d'	de	O	_
9	Yvours	Yvours	O	_
10	,	,	O	_
11	route	route	O	_
12	d'	de	O	_
13	Irigny	Irigny	O	_
14	à	à	O	_
15	Pierre-Bénite	Pierre-Bénite	O	_
16	(	(	O	_
17	69	69	O	_
18	)	)	O	_
19	.	.	O	_


#La superficie totale du site est d'environ 25 ha.
1	La	le	O	_
2	superficie	superficie	O	_
3	totale	total	O	_
4	du	de	O	_
5	site	site	O	_
6	est	être	O	_
7	d'	de	O	_
8	environ	environ	O	_
9	25	25	O	_
10	ha	ha	O	_
11	.	.	O	_


#La rivière "la Mouche" borde la limite ouest du terrain avec un écoulement se dirigeant du nord-ouest vers le sud-est.
1	La	le	O	_
2	rivière	rivière	O	_
3	"	"	O	_
4	la	le	O	_
5	Mouche	Mouche	O	_
6	"	"	O	_
7	borde	borde	O	_
8	la	le	O	_
9	limite	limite	O	_
10	ouest	ouest	O	_
11	du	de	O	_
12	terrain	terrain	O	_
13	avec	avec	O	_
14	un	un	O	_
15	écoulement	écoulement	O	_
16	se	se	O	_
17	dirigeant	diriger	O	_
18	du	de	O	_
19	nord-ouest	nord-ouest	O	_
20	vers	vers	O	_
21	le	le	O	_
22	sud-est	sud-est	O	_
23	.	.	O	_


#Le Rhône est positionné à 200 m à l'est des limites de l'emprise du site, il s'écoule du nord au sud.
1	Le	le	O	_
2	Rhône	Rhône	O	_
3	est	être	O	_
4	positionné	positionner	O	_
5	à	à	O	_
6	200	200	O	_
7	m	m	O	_
8	à	à	O	_
9	l'	le	O	_
10	est	est	O	_
11	des	de	O	_
12	limites	limite	O	_
13	de	de	O	_
14	l'	le	O	_
15	emprise	emprise	O	_
16	du	de	O	_
17	site	site	O	_
18	,	,	O	_
19	il	il	O	_
20	s'	se	O	_
21	écoule	écoule	O	_
22	du	de	O	_
23	nord	nord	O	_
24	au	au	O	_
25	sud	sud	O	_
26	.	.	O	_


#La Mouche n'a aucune relation avec la nappe au droit du site.
1	La	le	BI	_
2	Mouche	Mouche	EI	_
3	n'	n'	O	_
4	a	avoir	O	_
5	aucune	aucun	O	_
6	relation	relation	O	_
7	avec	avec	O	_
8	la	le	O	_
9	nappe	nappe	O	_
10	au	au	O	_
11	droit	droit	O	_
12	du	de	O	_
13	site	site	O	_
14	.	.	O	_


#Le site est constitué de remblais sur une épaisseur de 2,5 à 8 m, puis des alluvions récentes du Rhône, sur une épaisseur variant entre 10 et 35 m.
1	Le	le	O	_
2	site	site	O	_
3	est	être	O	_
4	constitué	constituer	O	_
5	de	de	O	_
6	remblais	remblai	O	_
7	sur	sur	O	_
8	une	un	O	_
9	épaisseur	épaisseur	O	_
10	de	de	O	_
11	2,5	2,5	O	_
12	à	à	O	_
13	8	8	O	_
14	m	m	O	_
15	,	,	O	_
16	puis	puis	O	_
17	des	de	O	_
18	alluvions	alluvion	O	_
19	récentes	récent	O	_
20	du	de	O	_
21	Rhône	Rhône	O	_
22	,	,	O	_
23	sur	sur	O	_
24	une	un	O	_
25	épaisseur	épaisseur	O	_
26	variant	varier	O	_
27	entre	entre	O	_
28	10	10	O	_
29	et	et	O	_
30	35	35	O	_
31	m.	m.	O	_


#e substratum de ces alluvions est constitué de formations mollasiques.
1	e	e	O	_
2	substratum	substratum	O	_
3	de	de	O	_
4	ces	ce	O	_
5	alluvions	alluvion	O	_
6	est	être	O	_
7	constitué	constituer	O	_
8	de	de	O	_
9	formations	formation	O	_
10	mollasiques	mollasique	O	_
11	.	.	O	_


#Une nappe d'eau souterraine d'accompagnement du Rhône se trouve au droit du site à une profondeur comprise entre 6,5 et 10,5 m, et une cote en hautes eaux comprises entre 155,65 et 157 m NGF.
1	Une	un	O	_
2	nappe	nappe	O	_
3	d'	de	O	_
4	eau	eau	O	_
5	souterraine	souterrain	O	_
6	d'	de	O	_
7	accompagnement	accompagnement	O	_
8	du	de	O	_
9	Rhône	Rhône	O	_
10	se	se	O	_
11	trouve	trouve	O	_
12	au	au	O	_
13	droit	droit	O	_
14	du	de	O	_
15	site	site	O	_
16	à	à	O	_
17	une	un	O	_
18	profondeur	profondeur	O	_
19	comprise	comprendre	O	_
20	entre	entre	O	_
21	6,5	6,5	O	_
22	et	et	O	_
23	10,5	10,5	O	_
24	m	m	O	_
25	,	,	O	_
26	et	et	O	_
27	une	un	O	_
28	cote	cote	O	_
29	en	en	O	_
30	hautes	haut	O	_
31	eaux	eau	O	_
32	comprises	comprendre	O	_
33	entre	entre	O	_
34	155,65	155,65	O	_
35	et	et	O	_
36	157	157	O	_
37	m	m	O	_
38	NGF	ngf	O	_
39	.	.	O	_


#L'écoulement des eaux est orienté in fine vers le Rhône, qui constitue l'exutoire de la nappe, du sud-ouest vers le nord-est pour la partie sud à restituer au Grand Lyon par Fillot TP, et ouest-est dans la partie nord du site.
1	L'	le	O	_
2	écoulement	écoulement	O	_
3	des	de	O	_
4	eaux	eau	O	_
5	est	être	O	_
6	orienté	orienter	O	_
7	in	in	O	_
8	fine	fine	O	_
9	vers	vers	O	_
10	le	le	O	_
11	Rhône	Rhône	O	_
12	,	,	O	_
13	qui	qui	O	_
14	constitue	constitue	O	_
15	l'	le	O	_
16	exutoire	exutoire	O	_
17	de	de	O	_
18	la	le	O	_
19	nappe	nappe	O	_
20	,	,	O	_
21	du	de	O	_
22	sud-ouest	sud-ouest	O	_
23	vers	vers	O	_
24	le	le	O	_
25	nord-est	nord-est	O	_
26	pour	pour	O	_
27	la	le	O	_
28	partie	partie	O	_
29	sud	sud	O	_
30	à	à	O	_
31	restituer	restituer	O	_
32	au	au	O	_
33	Grand	grand	BI	_
34	Lyon	Lyon	EI	_
35	par	par	O	_
36	Fillot	Fillot	EI	_
37	TP	TP	EI	_
38	,	,	O	_
39	et	et	O	_
40	ouest-est	ouest-est	O	_
41	dans	dans	O	_
42	la	le	O	_
43	partie	partie	O	_
44	nord	nord	O	_
45	du	de	O	_
46	site	site	O	_
47	.	.	O	_


#Le site est situé en dehors de toute zone d'alimentation en eau potable et industrielle.
1	Le	le	O	_
2	site	site	O	_
3	est	être	O	_
4	situé	situer	O	_
5	en	en	O	_
6	dehors	dehors	O	_
7	de	de	O	_
8	toute	tout	O	_
9	zone	zone	O	_
10	d'	de	O	_
11	alimentation	alimentation	O	_
12	en	en	O	_
13	eau	eau	O	_
14	potable	potable	O	_
15	et	et	O	_
16	industrielle	industriel	O	_
17	.	.	O	_


#Historique :
1	Historique	historique	O	_
2	:	:	O	_


#La société PECHINEY UGINE KUHLMANN (PUK) a exercé sur le site une activité de production de produits chimiques à partir des années 1970.
1	La	le	BI	_
2	société	société	II	_
3	PECHINEY	PECHINEY	EI	_
4	UGINE	UGINE	EI	_
5	KUHLMANN	KUHLMANN	EI	_
6	(	(	O	_
7	PUK	PUK	BI	_
8	)	)	O	_
9	a	avoir	O	_
10	exercé	exercer	O	_
11	sur	sur	O	_
12	le	le	O	_
13	site	site	O	_
14	une	un	O	_
15	activité	activité	O	_
16	de	de	O	_
17	production	production	O	_
18	de	de	O	_
19	produits	produit	BU	_
20	chimiques	chimique	EU	_
21	à	à	O	_
22	partir	partir	O	_
23	des	de	O	_
24	années	année	O	_
25	1970	1970	O	_
26	.	.	O	_


#Elle bénéficiait d'un arrêté préfectoral complémentaire du 23/11/1981.
1	Elle	lui	O	_
2	bénéficiait	bénéficier	O	_
3	d'	de	O	_
4	un	un	O	_
5	arrêté	arrêté	O	_
6	préfectoral	préfectoral	O	_
7	complémentaire	complémentaire	O	_
8	du	de	O	_
9	23/11/1981	23/11/1981	O	_
10	.	.	O	_


#La société PUK a été dissoute et ses terrains d'Irigny et Pierre-Bénite ont été vendus à la Communauté Urbaine de Lyon par actes du 9/06/1986 et 04/07/1986.
1	La	le	BI	_
2	société	société	II	_
3	PUK	PUK	EI	_
4	a	avoir	O	_
5	été	être	O	_
6	dissoute	dissoudre	O	_
7	et	et	O	_
8	ses	son	O	_
9	terrains	terrain	O	_
10	d'	de	O	_
11	Irigny	Irigny	O	_
12	et	et	O	_
13	Pierre-Bénite	Pierre-Bénite	O	_
14	ont	avoir	O	_
15	été	être	O	_
16	vendus	vendre	O	_
17	à	à	O	_
18	la	le	BI	_
19	Communauté	communauté	II	_
20	Urbaine	urbain	EI	_
21	de	de	O	_
22	Lyon	Lyon	O	_
23	par	par	O	_
24	actes	acte	O	_
25	du	de	O	_
26	9/06/1986	9/06/1986	O	_
27	et	et	O	_
28	04/07/1986	04/07/1986	O	_
29	.	.	O	_


#La société a été placée en liquidation judiciaire le 23/12/1996.
1	La	le	O	_
2	société	société	O	_
3	a	avoir	O	_
4	été	être	O	_
5	placée	placer	O	_
6	en	en	O	_
7	liquidation	liquidation	O	_
8	judiciaire	judiciaire	O	_
9	le	le	O	_
10	23/12/1996	23/12/1996	O	_
11	.	.	O	_


#L'ensemble des bâtiments de la société PUK a été démoli.
1	L'	le	O	_
2	ensemble	ensemble	O	_
3	des	de	O	_
4	bâtiments	bâtiment	O	_
5	de	de	O	_
6	la	le	O	_
7	société	société	II	_
8	PUK	PUK	EI	_
9	a	avoir	O	_
10	été	être	O	_
11	démoli	démolir	O	_
12	.	.	O	_


#De 1993 à 1996, le site a été géré par un groupement immobilier, ACTILYON, pour un projet immobilier ou tertiaire, qui n'aboutit pas pour des raisons financières.
1	De	de	O	_
2	1993	1993	O	_
3	à	à	O	_
4	1996	1996	O	_
5	,	,	O	_
6	le	le	O	_
7	site	site	O	_
8	a	avoir	O	_
9	été	être	O	_
10	géré	gérer	O	_
11	par	par	O	_
12	un	un	O	_
13	groupement	groupement	O	_
14	immobilier	immobilier	O	_
15	,	,	O	_
16	ACTILYON	ACTILYON	BI	_
17	,	,	O	_
18	pour	pour	O	_
19	un	un	O	_
20	projet	projet	O	_
21	immobilier	immobilier	O	_
22	ou	ou	O	_
23	tertiaire	tertiaire	O	_
24	,	,	O	_
25	qui	qui	O	_
26	n'	n'	O	_
27	aboutit	aboutir	O	_
28	pas	pas	O	_
29	pour	pour	O	_
30	des	un	O	_
31	raisons	raison	O	_
32	financières	financier	O	_
33	.	.	O	_


#Aujourd'hui, le site possède un usage industriel.
1	Aujourd'hui	aujourd'hui	O	_
2	,	,	O	_
3	le	le	O	_
4	site	site	O	_
5	possède	posséder	O	_
6	un	un	O	_
7	usage	usage	O	_
8	industriel	industriel	O	_
9	.	.	O	_


#Les 14 ha au nord ont été aménagés pour l'extension d'une station d'épuration.
1	Les	le	O	_
2	14	14	O	_
3	ha	ha	O	_
4	au	au	O	_
5	nord	nord	O	_
6	ont	avoir	O	_
7	été	être	O	_
8	aménagés	aménager	O	_
9	pour	pour	O	_
10	l'	le	O	_
11	extension	extension	O	_
12	d'	de	O	_
13	une	un	O	_
14	station	station	O	_
15	d'	de	O	_
16	épuration	épuration	O	_
17	.	.	O	_


#Les 11 ha restants ont été loués à la société FILLOT TP pour exploiter une plate-forme de transit et recyclage de déchets inertes du BTP, installation classée pour la protection de l'environnement qui a débuté vers 1996 puis a été autorisée et réglementée par arrêté préfectoral du 13 janvier 2000.
1	Les	le	O	_
2	11	11	O	_
3	ha	ha	O	_
4	restants	restant	O	_
5	ont	avoir	O	_
6	été	être	O	_
7	loués	louer	O	_
8	à	à	O	_
9	la	le	BI	_
10	société	société	II	_
11	FILLOT	FILLOT	EI	_
12	TP	TP	EI	_
13	pour	pour	O	_
14	exploiter	exploiter	O	_
15	une	un	O	_
16	plate	plate	O	_
17	-	-	O	_
18	forme	forme	O	_
19	de	de	O	_
20	transit	transit	O	_
21	et	et	O	_
22	recyclage	recyclage	O	_
23	de	de	O	_
24	déchets	déchet	BU	_
25	inertes	inerte	EU	_
26	du	de	O	_
27	BTP	BTP	O	_
28	,	,	O	_
29	installation	installation	O	_
30	classée	classer	O	_
31	pour	pour	O	_
32	la	le	O	_
33	protection	protection	O	_
34	de	de	O	_
35	l'	le	O	_
36	environnement	environnement	O	_
37	qui	qui	O	_
38	a	avoir	O	_
39	débuté	débuter	O	_
40	vers	vers	O	_
41	1996	1996	O	_
42	puis	puis	O	_
43	a	avoir	O	_
44	été	être	O	_
45	autorisée	autoriser	O	_
46	et	et	O	_
47	réglementée	réglementer	O	_
48	par	par	O	_
49	arrêté	arrêté	O	_
50	préfectoral	préfectoral	O	_
51	du	de	O	_
52	13	13	O	_
53	janvier	janvier	O	_
54	2000	2000	O	_
55	.	.	O	_


#En 2005, la société FILLOT TP a été rachetée par le groupe EUROVIA.
1	En	en	O	_
2	2005	2005	O	_
3	,	,	O	_
4	la	le	BI	_
5	société	société	II	_
6	FILLOT	FILLOT	EI	_
7	TP	TP	EI	_
8	a	avoir	O	_
9	été	être	O	_
10	rachetée	racheter	O	_
11	par	par	O	_
12	le	le	O	_
13	groupe	groupe	BI	_
14	EUROVIA	EUROVIA	EI	_
15	.	.	O	_


#Les 4 ha situés à l'extrémité sud du terrain actuellement occupés par FILLOT TP sont concernés par un projet de restitution au propriétaire actuel, le Grand Lyon, dans le but d'y aménager une halte ferroviaire.
1	Les	le	O	_
2	4	4	O	_
3	ha	ha	O	_
4	situés	situer	O	_
5	à	à	O	_
6	l'	le	O	_
7	extrémité	extrémité	O	_
8	sud	sud	O	_
9	du	de	O	_
10	terrain	terrain	O	_
11	actuellement	actuellement	O	_
12	occupés	occuper	O	_
13	par	par	O	_
14	FILLOT	FILLOT	EI	_
15	TP	TP	EI	_
16	sont	être	O	_
17	concernés	concerner	O	_
18	par	par	O	_
19	un	un	O	_
20	projet	projet	O	_
21	de	de	O	_
22	restitution	restitution	O	_
23	au	au	O	_
24	propriétaire	propriétaire	O	_
25	actuel	actuel	O	_
26	,	,	O	_
27	le	le	BI	_
28	Grand	grand	EI	_
29	Lyon	Lyon	EI	_
30	,	,	O	_
31	dans	dans	O	_
32	le	le	O	_
33	but	but	O	_
34	d'	de	O	_
35	y	y	O	_
36	aménager	aménager	O	_
37	une	un	O	_
38	halte	halte	O	_
39	ferroviaire	ferroviaire	O	_
40	.	.	O	_


#CARACTERISATION DE L'ETAT DU SITE
1	CARACTERISATION	caracterisation	O	_
2	DE	de	O	_
3	L'	le	O	_
4	ETAT	etat	O	_
5	DU	de	O	_
6	SITE	site	O	_


#Le site a fait l’objet d’un audit de sol et d’une évaluation simplifiée des risques (ESR) à l’initiative du propriétaire, la COMMUNAUTE URBAINE DE LYON, suite à l'activité de PUK .
1	Le	le	O	_
2	site	site	O	_
3	a	avoir	O	_
4	fait	faire	O	_
5	l’	l’	O	_
6	objet	objet	O	_
7	d’	d’	O	_
8	un	un	O	_
9	audit	audit	O	_
10	de	de	O	_
11	sol	sol	O	_
12	et	et	O	_
13	d’	d’	O	_
14	une	un	O	_
15	évaluation	évaluation	O	_
16	simplifiée	simplifier	O	_
17	des	de	O	_
18	risques	risque	O	_
19	(	(	O	_
20	ESR	esr	O	_
21	)	)	O	_
22	à	à	O	_
23	l’	l’	O	_
24	initiative	initiative	O	_
25	du	de	O	_
26	propriétaire	propriétaire	O	_
27	,	,	O	_
28	la	le	BI	_
29	COMMUNAUTE	communaute	EI	_
30	URBAINE	urbain	EI	_
31	DE	de	EI	_
32	LYON	LYON	EI	_
33	,	,	O	_
34	suite	suite	O	_
35	à	à	O	_
36	l'	le	O	_
37	activité	activité	O	_
38	de	de	O	_
39	PUK	PUK	EI	_
40	.	.	O	_


#Les résultats de ces études ont été transmis à l’administration le 20/07/98.
1	Les	le	O	_
2	résultats	résultat	O	_
3	de	de	O	_
4	ces	ce	O	_
5	études	étude	O	_
6	ont	avoir	O	_
7	été	être	O	_
8	transmis	transmettre	O	_
9	à	à	O	_
10	l’	l’	O	_
11	administration	administration	O	_
12	le	le	O	_
13	20/07/98	20/07/98	O	_
14	.	.	O	_


#Ceux-ci, à l'époque, ont conduit à classer le site dans la catégorie des « sites nécessitant des investigations approfondies » (classe 1).
1	Ceux	celui	O	_
2	-	-	O	_
3	ci	ci	O	_
4	,	,	O	_
5	à	à	O	_
6	l'	le	O	_
7	époque	époque	O	_
8	,	,	O	_
9	ont	avoir	O	_
10	conduit	conduire	O	_
11	à	à	O	_
12	classer	classer	O	_
13	le	le	O	_
14	site	site	O	_
